Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,Crystalforms upload name,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms short tag,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms alias,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Pose,[Other] upload_4 2025-04-02,[Other] upload_2 2025-02-28,[Other] upload_1 2025-02-12,[Other] fff_i1_design,[Other] New,[Other] P2 Wave 1,[Other] Active site fragment,[Other] upload_6_2025-02-13,[Other] S2 site,[Other] Fragment Screen,[Other] Bogyo covalents,[Other] Covalent,[Other] upload_1 2024-12-06,[Series] Indazole series,[Other] upload_061224,[Other] upload_5 2025-02-03,[Other] upload_3 2024-12-19,[Other] upload_4 2025-01-06,[Other] S3 site,[Other] S4 site,[Other] S5 site,[Other] Sun-roof open,[Other] upload_2 2024-12-12,[Other] S1 site,[Other] S1' site,[Series] Piperidine series,[Other] upload_3 2025-03-06,[Other] Lactam Series,[Other] P3 compound design,Main status,GOOD count,MEDIOCRE count,BAD count
A0450a,A71EV2A-x0450_A_201_v1,A71EV2A-x0450,Z100642432,CN(C)C(=O)c1ccc(F)cc1Br,A71EV2A-x0911/A/133/A_v1,True,F2 - A71_2A_open_small_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F2b - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - A0911/A/147/1,F2b - A0450/A/201,A1 - monomer,F2 - A71_2A_open_small_cell,1b - A0911/A/147,1 - Active Site,F2b - A0450/A/201,A1 - monomer,A0450a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0451a,A71EV2A-x0451_A_201_v1,A71EV2A-x0451,Z100643660,CNC(=O)c1cn(C)c2ccccc12,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0451a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0469a,A71EV2A-x0469_A_147_v1,A71EV2A-x0469,Z104924088,CC(C)N1CCN(c2ncccn2)CC1,A71EV2A-x0525/A/90/A_v1,True,F1 - A71_2A_open,4b - A71EV2A-x0469/A/147,4 - A71EV2A-x0525/A/246/1,F1z - A71EV2A-x0525/A/246/1,A1 - monomer,F1 - A71_2A_open,4b - A0469/A/147,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,F1 - A71_2A_open,4b - A0469/A/147,4 - A0525/A/246/1,F1z - A0525/A/246,A1 - monomer,A0469a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0473a,A71EV2A-x0473_A_147_v1,A71EV2A-x0473,Z1082839290,O=S(=O)(NC1CCCC1)C1CCOCC1,A71EV2A-x0911/A/133/A_v1,True,F1 - A71_2A_open,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F1a - A71EV2A-x0375/A/201/1,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - A0911/A/147/1,F1a - A0375/A/201,A1 - monomer,F1 - A71_2A_open,1b - A0911/A/147,1 - Active Site,F1a - A0375/A/201,A1 - monomer,A0473a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,,,,
A0486a,A71EV2A-x0486_A_147_v1,A71EV2A-x0486,Z1148165337,CN(C)C(=O)Cn1ncc2ccccc21,A71EV2A-x0486/A/143/A_v1,True,F1 - A71_2A_open,6a - A71EV2A-x0486/A/147,6 - A71EV2A-x0486/A/147/1,F1ac - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,F1 - A71_2A_open,6a - A0486/A/147,6 - A0486/A/147/1,F1ac - A0486/A/147,A1 - monomer,A0486a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0487a,A71EV2A-x0487_A_250_v1,A71EV2A-x0487,Z1148747945,CC(=O)Nc1ccncc1C,A71EV2A-x0911/A/133/A_v1,True,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3c - A0487/A/250,A1 - monomer,A0487a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0488a,A71EV2A-x0488_A_147_v1,A71EV2A-x0488,Z1154747269,O=c1ccncn1CCO,A71EV2A-x0488/A/68/A_v1,True,F1 - A71_2A_open,7b - A71EV2A-x0488/A/147,7 - A71EV2A-x0488/A/147/1,F1ad - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,F1 - A71_2A_open,7b - A0488/A/147,7 - A0488/A/147/1,F1ad - A0488/A/147,A1 - monomer,A0488a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0497a,A71EV2A-x0497_A_147_v1,A71EV2A-x0497,Z1198158918,N#Cc1n[nH]c2ccccc12,A71EV2A-x3977/A/113/A_v1,True,F2 - A71_2A_open_small_cell,2a - A71EV2A-x3977/A/202,2 - A71EV2A-x3977/A/202/1,F2u - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,F2 - A71_2A_open_small_cell,2a - A3977/A/202,2 - A3977/A/202/1,F2u - A0497/A/147,A1 - monomer,A0497a,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0501a,A71EV2A-x0501_A_151_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0911/A/133/A_v1,False,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3c - A71EV2A-x0487/A/250/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3c - A0487/A/250,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3c - A0487/A/250,A1 - monomer,A0501a,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
A0501b,A71EV2A-x0501_A_152_v1,A71EV2A-x0501,Z1198177230,COc1ccccc1-c1nnco1,A71EV2A-x0911/A/133/A_v1,True,F3 - A71_2A_open_long_cell,1b - A71EV2A-x0911/A/147,1 - A71EV2A-x0911/A/147/1,F3d - A71EV2A-x0501/A/152/1,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - A0911/A/147/1,F3d - A0501/A/152,A1 - monomer,F3 - A71_2A_open_long_cell,1b - A0911/A/147,1 - Active Site,F3d - A0501/A/152,A1 - monomer,A0501a,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
